step,hp,enemy,coin
31,1,2,2
20,1,2,2
34,2,2,2
47,1,2,2
34,1,2,2
41,1,2,2
28,1,2,2
28,2,2,2
34,1,2,2
33,2,2,2
19,2,2,2
38,1,2,2
28,2,2,2
22,2,3,2
22,1,2,2
37,0,1,2
26,2,2,2
105,2,1,2
32,2,2,2
38,2,2,3
16,2,2,2
72,1,1,2
31,2,2,2
28,2,2,2
59,1,2,2
17,2,2,2
63,2,2,2
65,2,2,2
51,1,2,2
20,1,2,2
65,2,2,2
26,1,2,2
42,2,2,2
59,2,2,2
29,1,2,2
26,2,2,2
83,1,2,2
22,1,2,2
20,2,2,2
28,2,2,2
33,1,2,2
25,2,2,2
24,2,2,2
30,1,2,2
44,2,2,2
43,2,2,2
32,1,2,2
26,2,2,2
29,1,2,2
38,1,2,2
28,2,2,2
31,2,2,2
24,2,2,2
46,1,1,2
23,2,2,2
33,1,2,2
28,2,2,2
20,1,2,2
33,1,2,2
25,1,2,2
21,2,2,2
105,2,1,2
28,1,2,2
39,1,2,2
27,2,3,2
32,2,2,2
24,1,2,2
55,2,2,2
33,2,2,2
27,1,2,2
37,2,2,2
31,2,2,2
31,2,2,2
26,1,2,2
18,2,2,2
59,2,2,2
28,2,2,2
22,2,2,2
23,1,2,2
23,2,2,2
39,2,2,2
25,1,2,2
30,1,2,2
29,2,2,2
33,2,2,2
35,2,2,2
25,2,2,2
21,2,2,2
23,2,2,2
23,1,2,2
24,2,2,2
26,1,2,2
34,1,2,2
50,1,2,2
19,2,2,2
28,1,2,2
29,2,2,2
46,2,2,2
26,1,2,2
31,2,2,2
38,2,2,2
48,2,2,2
42,1,2,2
54,1,2,2
32,1,2,2
39,2,2,2
39,1,2,2
36,1,2,2
26,2,2,2
18,2,2,2
66,1,2,2
52,2,2,2
76,1,0,1
29,1,2,2
55,1,2,2
32,2,2,2
35,1,2,2
41,2,2,2
28,1,2,2
105,2,1,2
31,2,2,2
25,1,2,2
43,1,2,3
36,2,2,2
23,2,2,2
28,2,2,2
32,1,2,2
40,1,2,2
48,2,2,2
89,2,0,1
16,1,2,2
28,1,2,2
25,1,2,2
48,2,2,2
78,2,2,2
24,2,2,2
26,2,2,2
24,2,2,2
39,2,2,2
19,1,2,2
26,1,2,2
40,1,2,2
32,2,2,2
25,2,2,2
93,0,0,2
42,1,2,2
25,1,2,2
33,2,2,2
44,1,2,2
33,1,2,2
50,2,2,2
23,2,2,2
27,2,2,2
64,1,2,2
21,1,2,2
31,1,2,2
28,1,2,2
26,2,2,2
40,2,2,2
74,1,1,2
21,2,2,2
21,2,2,2
26,2,2,2
47,1,2,2
105,2,1,1
37,1,2,2
34,1,2,2
24,1,2,2
30,2,2,2
29,2,2,2
20,1,2,2
24,2,2,2
30,2,2,2
19,2,2,2
19,1,2,2
105,2,2,0
28,2,2,2
24,1,2,2
63,1,1,2
27,1,2,2
48,1,2,2
33,2,2,2
56,2,2,2
31,1,2,2
33,2,2,2
32,2,2,2
39,2,2,2
19,1,2,2
24,1,2,2
30,1,2,2
25,2,2,2
21,2,2,2
32,1,2,2
25,1,2,2
34,2,2,2
25,1,2,2
23,1,2,2
21,1,2,2
26,1,2,2
30,1,2,2
26,2,2,3
28,1,2,2
31,2,3,2
45,1,2,2
60,1,2,2
34,2,2,2
15,1,2,2
34,2,2,2
32,2,2,3
37,2,2,2
24,1,2,2
31,1,2,2
41,1,2,2
75,2,2,2
24,1,2,2
23,2,2,2
25,1,2,2
35,2,2,2
23,2,2,2
30,2,2,2
26,2,2,2
53,2,2,2
41,2,2,2
38,2,2,2
22,1,2,2
32,2,2,2
28,2,2,2
56,1,2,2
23,2,3,2
23,2,2,2
49,1,2,2
41,1,2,2
20,2,2,2
24,2,2,2
38,1,2,2
24,1,2,2
30,1,2,2
105,2,2,2
28,2,2,2
36,1,2,2
22,1,2,2
23,1,2,2
75,2,2,2
24,2,2,2
25,2,2,2
28,1,2,2
34,1,2,2
19,2,2,2
29,2,2,2
28,2,2,2
69,1,2,2
63,0,0,2
25,0,1,2
31,1,2,2
36,2,2,2
34,2,2,2
48,2,2,2
28,2,2,2
49,1,2,2
22,1,2,2
24,1,2,2
77,1,1,2
24,1,2,2
36,2,2,2
27,1,2,2
31,2,2,2
33,2,2,2
46,2,2,2
38,2,2,2
29,2,2,2
22,2,2,2
36,1,2,2
23,2,2,2
49,1,2,2
105,1,0,0
30,1,2,2
39,2,2,2
35,2,2,2
36,1,2,2
28,2,2,2
28,2,2,2
19,1,2,2
92,1,0,1
24,1,2,2
89,2,2,2
44,2,2,2
33,1,2,2
42,1,2,2
21,2,2,2
23,1,2,2
21,1,2,2
26,2,2,2
21,2,2,2
24,2,2,2
29,1,2,2
28,2,2,2
71,2,2,2
49,1,2,2
37,2,2,2
32,1,2,2
25,1,2,2
26,2,2,2
25,1,2,2
34,1,2,2
41,1,2,2
66,1,2,2
22,1,2,2
66,2,2,2
34,2,2,2
40,2,2,2
37,1,2,2
18,1,2,2
17,2,2,2
27,1,2,2
22,1,2,2
35,2,2,2
105,2,0,1
41,1,2,2
21,1,2,2
23,1,2,2
41,1,2,2
105,1,1,1
29,2,2,2
19,2,2,2
28,1,2,2
29,1,2,2
46,1,2,2
40,1,2,2
21,2,2,2
45,1,2,2
32,2,2,2
31,2,2,2
28,1,2,2
19,1,2,2
25,2,2,2
46,1,2,2
35,1,2,2
22,1,2,2
33,1,2,2
84,0,1,2
31,2,2,2
37,1,2,2
28,2,2,2
18,1,2,2
29,2,2,2
27,2,2,2
30,1,2,2
25,2,2,2
29,2,2,2
32,1,2,2
41,1,2,2
26,2,2,2
33,2,2,2
28,2,2,2
21,2,2,2
22,2,2,2
28,2,2,2
22,1,2,2
33,1,2,2
25,1,2,2
30,2,2,2
30,2,2,2
20,1,2,2
21,2,2,2
36,1,2,2
97,1,2,2
39,1,2,2
28,1,2,2
25,1,2,2
31,2,2,2
23,1,2,2
28,1,2,2
19,2,2,2
45,2,2,2
105,1,0,1
54,1,2,2
34,2,2,2
75,1,0,1
27,1,2,2
23,1,2,2
50,2,2,2
87,1,2,2
47,2,2,2
43,1,2,2
24,1,2,2
23,2,2,2
31,2,2,2
36,2,2,2
20,2,2,2
29,2,2,2
37,1,2,2
27,2,2,2
46,2,2,2
105,2,2,3
26,2,2,2
25,1,2,2
25,2,2,2
19,1,2,2
48,0,0,2
65,1,2,2
37,2,2,2
26,1,2,2
26,1,2,2
29,2,2,2
21,2,2,2
26,2,2,2
31,2,2,2
29,2,2,2
41,1,2,2
55,2,2,2
23,1,2,2
25,2,2,2
30,2,2,2
25,2,3,2
35,2,2,2
51,2,2,2
26,2,2,2
79,0,0,2
44,1,2,2
48,2,2,2
22,2,2,2
33,1,2,2
44,1,2,2
27,2,2,2
31,2,2,2
34,1,2,2
50,2,2,2
82,1,2,2
34,1,2,2
29,2,2,2
18,2,2,2
38,2,2,2
23,2,2,2
50,2,2,2
38,2,2,2
40,1,2,2
37,2,2,2
53,2,2,2
26,1,2,2
30,2,2,2
22,1,2,2
26,1,2,2
42,2,2,2
26,1,2,2
31,2,2,2
105,2,2,3
31,1,2,2
40,2,2,2
24,2,2,2
49,1,2,2
36,1,2,2
40,2,2,2
37,2,2,2
24,2,2,2
46,2,2,2
27,1,2,2
29,2,2,2
24,1,2,2
33,1,2,2
87,2,1,2
32,1,2,2
46,1,2,2
40,2,2,2
33,1,2,2
26,2,2,2
24,1,2,2
27,2,2,2
32,2,2,2
31,1,2,2
25,2,2,2
33,2,3,2
19,2,2,2
23,2,3,2
105,1,2,3
24,0,1,2
27,1,2,2
33,2,2,2
36,1,2,2
29,1,2,2
23,2,2,2
40,2,2,2
47,2,2,2
25,2,2,2
30,1,2,2
78,1,1,2
36,1,2,2
25,2,2,2
43,1,2,2
23,2,2,2
26,1,2,2
28,1,2,2
19,2,2,2
33,2,2,2
33,2,2,2
44,1,2,2
21,1,2,2
26,1,2,2
22,1,2,2
32,1,2,2
24,2,2,2
27,2,2,2
35,2,2,2
43,1,2,2
20,1,2,2
21,2,2,2
46,1,1,2
82,1,2,2
84,0,0,2
29,1,2,2
27,2,2,2
23,1,2,2
28,1,2,2
25,2,2,2
29,1,2,2
23,2,2,2
105,2,1,2
25,0,0,3
26,1,2,2
47,1,2,2
23,2,2,2
32,1,2,2
21,2,2,2
105,2,2,2
32,2,2,2
25,2,2,2
30,1,2,2
39,1,2,2
34,1,2,2
35,2,2,2
36,1,2,2
22,1,2,2
27,1,2,2
28,2,2,2
46,1,2,2
31,2,2,2
26,1,2,2
30,1,2,2
105,1,0,1
46,1,2,2
19,2,2,2
23,2,2,2
40,1,2,2
61,2,2,2
43,2,2,2
26,1,2,2
28,1,2,2
28,1,2,2
31,1,2,2
24,2,2,2
24,2,2,2
26,2,2,2
34,1,2,2
22,1,2,2
35,1,2,2
35,2,2,2
38,2,2,2
45,1,2,2
39,2,2,2
23,1,2,2
30,1,2,2
45,1,2,2
40,2,2,2
28,2,2,2
30,2,2,2
35,2,2,2
33,2,2,2
26,2,2,2
25,1,2,2
33,1,2,2
19,2,2,2
30,1,2,2
19,2,2,2
30,2,2,2
33,1,2,2
32,1,2,2
25,2,2,2
18,1,2,2
70,1,1,2
37,1,2,2
25,2,2,2
32,1,2,2
22,1,2,2
31,1,2,2
28,2,2,2
31,2,2,2
20,2,2,2
29,1,2,2
23,1,2,2
23,2,2,2
23,2,2,2
41,1,2,2
31,1,2,2
26,2,2,2
51,1,1,1
31,1,2,2
37,1,2,2
37,2,2,2
23,1,2,2
29,2,2,2
21,1,2,2
31,1,2,2
33,2,2,2
26,1,2,2
39,1,2,2
31,2,2,2
27,1,2,2
36,2,2,2
39,1,2,2
46,2,2,1
37,2,2,2
20,1,2,2
33,2,2,2
25,2,2,2
18,1,2,2
49,2,2,2
32,1,2,2
22,2,2,2
28,1,2,2
24,2,2,2
27,2,2,2
22,1,2,2
20,2,2,2
24,1,2,2
27,2,2,2
105,2,2,2
47,2,2,2
20,1,2,2
38,2,2,2
19,2,2,2
71,1,2,2
42,2,2,2
35,2,2,2
19,1,2,2
32,2,2,2
65,0,0,1
30,2,2,2
28,1,2,2
27,1,2,2
37,2,2,2
61,2,2,2
23,2,2,2
26,2,2,2
25,2,2,2
27,1,2,2
32,0,1,2
28,2,2,2
20,1,2,2
46,1,2,2
31,2,2,2
31,1,2,2
55,2,2,2
32,2,2,2
28,2,2,2
93,1,0,1
25,1,2,2
21,1,2,2
40,1,2,2
25,2,2,2
42,1,2,2
26,1,2,2
25,2,3,2
44,2,2,2
31,1,2,2
47,2,2,2
31,2,2,2
37,2,2,2
32,1,2,2
34,2,2,2
70,1,1,2
105,1,1,2
35,2,2,2
27,1,2,2
24,1,2,2
25,2,2,2
26,1,2,2
84,2,2,2
24,2,2,2
27,1,2,2
32,1,2,2
25,2,2,2
28,2,2,2
43,2,2,2
28,2,2,2
31,2,2,2
31,2,2,2
28,1,2,2
38,1,2,2
21,2,2,2
30,1,2,2
74,2,2,2
39,2,2,2
22,1,2,2
41,1,2,2
29,2,2,2
26,1,2,2
39,1,2,2
105,2,1,2
64,1,2,2
24,2,2,2
23,2,2,2
43,2,2,2
33,2,2,2
56,0,1,2
18,2,2,2
103,0,0,2
36,1,2,2
28,1,2,2
21,2,2,2
24,2,2,2
28,2,2,2
29,1,2,2
22,1,2,2
26,1,2,2
18,1,2,2
33,1,2,2
50,1,2,2
30,1,2,2
43,1,2,2
26,2,2,2
18,2,2,2
23,2,2,2
23,2,2,2
24,2,2,2
22,1,2,2
105,1,0,0
46,2,2,2
27,1,2,2
46,1,2,2
40,2,2,2
24,2,2,2
23,1,2,2
49,2,2,2
22,1,2,2
47,2,2,2
30,2,2,2
23,2,2,2
29,1,2,2
35,2,2,2
29,1,2,2
35,2,2,2
26,1,2,2
42,2,1,2
18,2,2,2
25,2,2,2
22,1,2,2
32,2,2,2
29,2,2,2
26,2,2,2
21,2,2,2
38,2,2,2
